step,budget,rank,relative_jacobian_change,directional_change,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6
0.01,2,2,0.015817803086216303,0.0072676636641303945,2.217882783411322,1.8461442117323752,,,,
0.01,4,4,0.04625266383496746,0.026786080076422834,2.1372389070377866,1.5085304836343847,1.421217469724307,0.9715728129778353,,
0.01,6,6,0.04384007106231911,0.01953771228242526,2.3265413164193944,1.6567780657232252,1.3837434803238944,1.0888406516236773,0.4625535356118323,0.369240178240954
0.003,2,2,0.0001816483817598937,2.0954201217462383e-05,2.2187054177331023,1.8401581941933527,,,,
0.003,4,4,0.00021444777556949978,0.00018842830167294954,2.1108394158456,1.5075559717019722,1.4189206189994483,0.9656137258776271,,
0.003,6,6,0.00018117716938687904,0.00016091140063771492,2.2946457636567454,1.6689353263721738,1.3808507489145396,1.0312355493422831,0.4284987361177851,0.36052017550112747
0.002,2,2,8.062011669044947e-05,9.306542810766693e-06,2.2188294617987148,1.8403351774125143,,,,
0.002,4,4,9.51781413951717e-05,8.36180154064693e-05,2.1109337732864364,1.5076195420793248,1.4190896536079831,0.9656609138375085,,
0.002,6,6,8.041060147970595e-05,7.140132435779779e-05,2.2946363999450234,1.6690877381547506,1.3808482134850366,1.0312015853387158,0.42853699116714355,0.3605755415737842
0.001,2,2,2.0003449536221017e-05,2.3100976295565946e-06,2.218903890252937,1.8404413856700352,,,,
0.001,4,4,2.3615709848662282e-05,2.0745621562253007e-05,2.1109904216290225,1.5076577706746346,1.4191910265758487,0.9656892373445127,,
0.001,6,6,1.9951412965142855e-05,1.7713828652069662e-05,2.2946308216957805,1.6691792112092132,1.3808467535441524,1.0311811988274355,0.42855995468929936,0.3606087644026076
0.0003,2,2,1.6164336057035732e-06,1.8667865205900763e-07,2.2189264671862152,1.8404736048897725,,,,
0.0003,4,4,1.908340458620588e-06,1.676368367764952e-06,2.1110076099822477,1.5076693794924834,1.4192217692786178,0.965697830396017,,
0.0003,6,6,1.6122366197590757e-06,1.4313714216375072e-06,2.294629135551203,1.6692069618871144,1.3808463197804746,1.0311750137224855,0.42856692184502654,0.3606188424656434
0.0001,2,2,0.0,1.8377968990031582e-16,2.218928451964328,1.840476437409824,,,,
0.0001,4,4,0.0,0.0,2.1110091211478252,1.5076704003396277,1.4192244717760671,0.9656985858651475,,
0.0001,6,6,0.0,6.913355377896577e-17,2.294628987454746,1.669209401586962,1.3808462818543659,1.0311744699408567,0.4285675343772682,0.36061972846113527
3e-05,2,2,1.83884951215379e-07,2.119846310141197e-08,2.2189286777857586,1.8404767596140612,,,,
3e-05,4,4,2.1707559494228097e-07,1.9070534925438187e-07,2.1110092930581534,1.5076705164683228,1.4192247791694945,0.9656986717763782,,
3e-05,6,6,1.834021664589847e-07,1.6285156544689082e-07,2.294628970648591,1.6692096791144253,1.3808462775264443,1.0311744081223897,0.4285676040692501,0.3606198292436744
1e-05,2,2,2.0001445700613103e-07,2.3011895121851712e-08,2.2189286974832583,1.8404767879405863,,,,
1e-05,4,4,2.3616030522773125e-07,2.0746333190290765e-07,2.11100930814814,1.5076705266522932,1.4192248061958397,0.9656986793349359,,
1e-05,6,6,1.9952436164620116e-07,1.7719356652362754e-07,2.2946289690023702,1.669209703443937,1.3808462771808876,1.0311744026705032,0.4285676102057356,0.3606198381122539
1e-06,2,2,2.0211270926176514e-07,2.3893648059871537e-08,2.218928699980541,1.8404767917027471,,,,
1e-06,4,4,2.3869167154508217e-07,2.0993387632814147e-07,2.1110093098394738,1.5076705275850926,1.4192248097770341,0.9656986800835633,,
1e-06,6,6,2.019840001659463e-07,1.787727103696816e-07,2.2946289705635317,1.6692097067908462,1.3808462771033734,1.031174401045251,0.4285676104680638,0.36061983920926255
