delta,direction,weakest_direction,normal_width,sigma_r_width_over_delta,maximum_width_at_delta,mean_weakest_width_at_delta
1e-05,0,1,2.7729188888406498e-05,0.9998467300838928,2.773087649031368e-05,2.773003268936009e-05
1e-05,1,1,2.773087649031368e-05,0.9999075808810571,2.773087649031368e-05,2.773003268936009e-05
1e-05,2,0,9.967959366604189e-06,0.3594202346998779,2.773087649031368e-05,2.773003268936009e-05
1e-05,3,0,6.6176585716129934e-06,0.23861658234097494,2.773087649031368e-05,2.773003268936009e-05
1e-05,4,0,6.570516310766836e-06,0.23691674771741333,2.773087649031368e-05,2.773003268936009e-05
1e-05,5,0,8.262067819614463e-06,0.2979099578576818,2.773087649031368e-05,2.773003268936009e-05
1e-05,6,0,1.3753223577477912e-05,0.4959076039834434,2.773087649031368e-05,2.773003268936009e-05
1e-05,7,0,5.044753655874955e-06,0.1819014781573439,2.773087649031368e-05,2.773003268936009e-05
1e-05,8,0,5.3282966418009885e-06,0.19212534472831663,2.773087649031368e-05,2.773003268936009e-05
1e-05,9,0,1.4256268879435087e-05,0.514046187202379,2.773087649031368e-05,2.773003268936009e-05
1e-05,10,0,1.0496092204812152e-05,0.3784634131158515,2.773087649031368e-05,2.773003268936009e-05
1e-05,11,0,5.2714545559319944e-06,0.19007575813867703,2.773087649031368e-05,2.773003268936009e-05
1e-05,12,0,7.86742676200447e-06,0.28368016655018435,2.773087649031368e-05,2.773003268936009e-05
1e-05,13,0,9.563284932610261e-06,0.3448286643800354,2.773087649031368e-05,2.773003268936009e-05
1e-05,14,0,1.0951071460403911e-05,0.39486885226483504,2.773087649031368e-05,2.773003268936009e-05
1e-05,15,0,6.9177148333437825e-06,0.24943587724859334,2.773087649031368e-05,2.773003268936009e-05
1e-05,16,0,9.510852358307608e-06,0.34293807399250664,2.773087649031368e-05,2.773003268936009e-05
1e-05,17,0,7.450546583695542e-06,0.26864848694367266,2.773087649031368e-05,2.773003268936009e-05
1e-05,18,0,5.521118363776623e-06,0.199078024411172,2.773087649031368e-05,2.773003268936009e-05
1e-05,19,0,4.740513716515124e-06,0.17093133006703926,2.773087649031368e-05,2.773003268936009e-05
3e-05,0,1,8.318250879958214e-05,0.999785938662513,8.31976972407574e-05,8.319010302016977e-05
3e-05,1,1,8.31976972407574e-05,0.999968491342594,8.31976972407574e-05,8.319010302016977e-05
3e-05,2,0,2.8372881947307176e-05,0.3410189091386442,8.31976972407574e-05,8.319010302016977e-05
3e-05,3,0,2.0103667034945833e-05,0.2416296876248208,8.31976972407574e-05,8.319010302016977e-05
3e-05,4,0,3.220371342791622e-05,0.38706238033192775,8.31976972407574e-05,8.319010302016977e-05
3e-05,5,0,3.181408663480396e-05,0.3823793839339908,8.31976972407574e-05,8.319010302016977e-05
3e-05,6,0,2.5809882294142886e-05,0.3102137428722064,8.31976972407574e-05,8.319010302016977e-05
3e-05,7,0,2.4351075013892123e-05,0.29268006870126645,8.31976972407574e-05,8.319010302016977e-05
3e-05,8,0,1.626496245839007e-05,0.19549158823704219,8.31976972407574e-05,8.319010302016977e-05
3e-05,9,0,2.0961502165791898e-05,0.25194016652101536,8.31976972407574e-05,8.319010302016977e-05
3e-05,10,0,2.0573876911130354e-05,0.24728122698343996,8.31976972407574e-05,8.319010302016977e-05
3e-05,11,0,1.4427091746492804e-05,0.17340188066087708,8.31976972407574e-05,8.319010302016977e-05
3e-05,12,0,2.2338131062515457e-05,0.26848612352042267,8.31976972407574e-05,8.319010302016977e-05
3e-05,13,0,2.2462372359241276e-05,0.269979402615514,8.31976972407574e-05,8.319010302016977e-05
3e-05,14,0,2.3898183016117405e-05,0.2872366761221981,8.31976972407574e-05,8.319010302016977e-05
3e-05,15,0,1.9372466861514112e-05,0.23284125767368785,8.31976972407574e-05,8.319010302016977e-05
3e-05,16,0,2.5291878506050125e-05,0.3039877596579124,8.31976972407574e-05,8.319010302016977e-05
3e-05,17,0,1.8906668720392183e-05,0.2272427437737178,8.31976972407574e-05,8.319010302016977e-05
3e-05,18,0,2.091943327764966e-05,0.2514345327835056,8.31976972407574e-05,8.319010302016977e-05
3e-05,19,0,1.563467129473793e-05,0.18791600231427413,8.31976972407574e-05,8.319010302016977e-05
0.0001,0,1,0.00027721615060654584,0.9995736363795495,0.0002773849118115322,0.000277300531209039
0.0001,1,1,0.0002773849118115322,1.0001821480083954,0.0002773849118115322,0.000277300531209039
0.0001,2,0,5.091541644669634e-05,0.18358853859722285,0.0002773849118115322,0.000277300531209039
0.0001,3,0,6.98926102499172e-05,0.252015657928693,0.0002773849118115322,0.000277300531209039
0.0001,4,0,0.00018322081219484973,0.6606494358474652,0.0002773849118115322,0.000277300531209039
0.0001,5,0,9.181765419725711e-05,0.3310720038821041,0.0002773849118115322,0.000277300531209039
0.0001,6,0,9.42895691097874e-05,0.3399851244652033,0.0002773849118115322,0.000277300531209039
0.0001,7,0,0.0001458800345524651,0.5260077246355743,0.0002773849118115322,0.000277300531209039
0.0001,8,0,7.382845096199164e-05,0.2662073368917369,0.0002773849118115322,0.000277300531209039
0.0001,9,0,8.688085165722443e-05,0.31327110138695297,0.0002773849118115322,0.000277300531209039
0.0001,10,0,6.537389776476631e-05,0.23572228591319802,0.0002773849118115322,0.000277300531209039
0.0001,11,0,8.663489222872163e-05,0.31238423184557723,0.0002773849118115322,0.000277300531209039
0.0001,12,0,5.417184432899376e-05,0.19533042106977647,0.0002773849118115322,0.000277300531209039
0.0001,13,0,0.00011856937414231653,0.42753216295430413,0.0002773849118115322,0.000277300531209039
0.0001,14,0,8.16913031720105e-05,0.29455885883115873,0.0002773849118115322,0.000277300531209039
0.0001,15,0,6.126361905426164e-05,0.22090162619260387,0.0002773849118115322,0.000277300531209039
0.0001,16,0,6.950288243770048e-05,0.25061039475912894,0.0002773849118115322,0.000277300531209039
0.0001,17,0,8.09451497063492e-05,0.29186841193137886,0.0002773849118115322,0.000277300531209039
0.0001,18,0,9.593784906883226e-05,0.34592841885418146,0.0002773849118115322,0.000277300531209039
0.0001,19,0,7.514845350106044e-05,0.27096694319577197,0.0002773849118115322,0.000277300531209039
0.0003,0,1,0.0008311470930966607,0.9989710440693492,0.0008326660006372549,0.0008319065468669578
0.0003,1,1,0.0008326660006372549,1.0007966470995169,0.0008326660006372549,0.0008319065468669578
0.0003,2,0,0.0001953670622844584,0.2348152809629927,0.0008326660006372549,0.0008319065468669578
0.0003,3,0,0.00022973960194558454,0.2761282713082491,0.0008326660006372549,0.0008319065468669578
0.0003,4,0,0.0002495948184418011,0.29999262277887584,0.0008326660006372549,0.0008319065468669578
0.0003,5,0,0.00017152202141132878,0.2061554858740669,0.0008326660006372549,0.0008319065468669578
0.0003,6,0,0.00020560147609667182,0.24711621197308958,0.0008326660006372549,0.0008319065468669578
0.0003,7,0,0.0002151680005836169,0.2586143944659532,0.0008326660006372549,0.0008319065468669578
0.0003,8,0,0.0002081393157101047,0.25016648828322613,0.0008326660006372549,0.0008319065468669578
0.0003,9,0,0.0002589342987912459,0.31121791672893845,0.0008326660006372549,0.0008319065468669578
0.0003,10,0,0.00017938324730512256,0.2156040384876954,0.0008326660006372549,0.0008319065468669578
0.0003,11,0,0.00018959614823925225,0.22787911277223946,0.0008326660006372549,0.0008319065468669578
0.0003,12,0,0.00037472353379307613,0.45038713712626877,0.0008326660006372549,0.0008319065468669578
0.0003,13,0,0.0002752747591339358,0.3308578178543729,0.0008326660006372549,0.0008319065468669578
0.0003,14,0,0.0001847214670689936,0.22202014342902102,0.0008326660006372549,0.0008319065468669578
